ИД скважины	Скважина	X	Y	Эфф. толщина	Эфф.нефт.толщина		Коэфф. нефтенасыщенности		Коэфф. пористости (общие толщины)						
1200000170	170	65134,5	47120,7	7	7		0,947		0,117						
1200000171	171	66706,3	44672,6	6,8	6,8		0,936		0,136						
1200000172	172	63240	46723,9	5,4	5,4		0,957		0,11						
1200000173	173	63932,9	43461,3												
1200000174	174	63916,1	51217,8	14,8	14,8				0,083						
1200000175	175	67089,2	47458	2	2		0,951		0,094						
1200000176	176	63322,5	40993												
1200000177	177	66090,3	50332,6	3,8	3,8		0,911		0,118						
1200000178	178	62418,3	49245,2	6,6	6,6		0,964		0,119						
1200000180	180	61626,2	52663,1	8,8	8,8				0,117						
1200000181	181	64261,9	53812,1	2,2					0,101						
1200000184	184	69394,9	44821,9	3,6	3,6		0,885		0,074						
1200000191	191	72039,8	45948,9	6					0,128						
1200000801	801	66135,4	48299,3												
1200000802	802	66418,8	48627,5												
1200000803	803	64966,8	48150,3	11,2	11,2		0,966		0,109						
1200000804	804	64539,3	48051,4	7,2	7,2		0,961		0,142						
1200000806	806	63134	48195,5	5,8	5,8		0,958		0,11						
1200000807	807	66671,4	47267,1	6,2	6,2		0,966		0,137						
1200000808	808	65511,4	47219,4	14,4	14,4		0,969		0,128						
1200000809	809	64311,1	46992	7,4	7,4		0,972		0,139						
1200000815	815	67047,9	48902,4												
1200000816	816	65144,9	46200,7	4,8	4,8		0,956		0,117						
1200000818	818	62694,4	45630,6												
1200000820	820	67304,3	47661,6	1,8	1,8				0,132						
1200000821	821	64404,9	50373,9	1,2	1,2		0,983		0,186						
1200000823	823	65874	47400,8	10,4	10,4		0,949		0,109						
1200000826	826	63749	44868,1	4	4		0,969		0,147						
1200000827	827	65356	48492,9												
1200000828	828	63913,2	48034,2	9,6	9,6		0,935		0,093						
1200000831	831	67451,4	48426,1												
1200000834	834	65690,5	48752,4	1,6	1,6		0,91		0,08						
1200000835	835	64986,3	48716,3	13,8	13,8		0,958		0,133						
1200000836	836	64328,7	48583,9	5,2	5,2		0,938		0,105						
1200000846	846	63522,8	42787,4												
1200000848	848	67944,2	44049,1	5,4	5,4		0,933		0,125						
1200000857	857	67461,5	44649,1												
1200000861	861	63923,9	44151,3												
1200000869	869	64196,2	44778,5	6,3	6,3				0,172						
1200000873	873	66658,5	45666,1	3,3	3,3		0,951		0,1						
1200000874	874	65962,8	45745,1												
1200000876	876	64344,2	45409,6												
1200000877	877	63741,7	45305,1	1	1		0,915		0,102						
1200000886	886	63231,8	45836												
1200000892	892	65181,1	49214,2	1,2	1,2		0,931		0,098						
1200000894	894	63838,2	48963,1	6,6	6,6		0,97		0,143						
1200000895	895	63138,8	48890,2	7,4	7,4		0,964		0,131						
1200000901	901	65330,5	48161,5	9,9	9,9		0,921		0,092						
1200000902	902	64074,5	48007,4	6,6	6,6		0,927		0,113						
1200000903	903	62938,4	47817,2	5,8	5,8		0,91		0,072						
1200000904	904	66068,3	49449,1												
1200000907	907	67822,7	47963,5	2,2	2,2		0,917		0,11						
1200000908	908	67521,9	47478,8	1,2	1,2		0,937		0,125						
